List Name,Card Name,Description
"Réalisé — Application métier (Back)","Frontend : React 18, Vite, Tailwind, React Router","Pages publiques (accueil, lots, règlement, FAQ), composants réutilisables, Framer Motion.
Checklist : SEO (seo.js, sitemap), Layout / Header / Footer."
"Réalisé — Application métier (Back)","Auth : JWT + OAuth Google / Facebook (Passport)","Inscription / connexion ; callbacks CLIENT_URL / BACKEND_URL."
"Réalisé — Application métier (Back)","Jeu : validation des codes tickets & lots","TicketValidator, API tickets, règles Mongoose côté serveur."
"Réalisé — Application métier (Back)","Espaces Employé & Admin","Dashboards, stats, tirage / exports selon rôles."
"Réalisé — Application métier (Back)","API Express : Helmet, CORS, rate limit, métriques Prometheus","prom-client ; tests Jest serveur."
"Réalisé — Application métier (Back)","Contenu & UX : lots (prizes.js), images, footer réseaux, Poppins, charte couleurs","public/images/prizes/, Home + Prizes, Footer FB/IG/X, fond site-playful-bg, tailwind.config.js."
"Réalisé — Déploiement & CI/CD","Docker : 3 stacks vdev / vpreprod / vprod sur VPS","docker-compose.stack.yml, MongoDB, images Harbor, réseau Traefik."
"Réalisé — Déploiement & CI/CD","GitHub Actions : build → Harbor → rsync → compose up","Workflows deploy-vdev, vpreprod, vprod ; secrets Harbor / VPS."
"Réalisé — Déploiement & CI/CD","Secrets monitoring & logging écrits depuis la CI","ci-write-remote-monitoring-env.sh, ci-write-remote-logging-env.sh ; .env exclus du rsync."
"Réalisé — Déploiement & CI/CD","Traefik : routes dynamiques, réseau docker « traefik », Let’s Encrypt","dynamic/*.yml, MinIO, alignement Host / certresolver."
"Réalisé — Monitoring (Logs & Metrics)","Prometheus + exporters (node-exporter, cAdvisor)","infra/monitoring/ ; collecte métriques conteneurs & hôte."
"Réalisé — Monitoring (Logs & Metrics)","Grafana : datasource Prometheus, dashboards","apply-monitoring-from-app.sh après déploiement."
"Réalisé — Monitoring (Logs & Metrics)","DNS / HTTPS : sous-domaines monitoring (Grafana, Prometheus, …)","Fichiers Traefik monitoring, alignement .env."
"Réalisé — ELK, Grafana & Kibana","Elasticsearch + Filebeat (logs conteneurs)","infra/logging/ ; pipeline vers ES."
"Réalisé — ELK, Grafana & Kibana","Kibana : exploration des logs, routage Traefik","Labels Docker + réseau traefik ; secrets LOGGING_ELASTIC_PASSWORD."
"Réalisé — ELK, Grafana & Kibana","Cohérence observabilité : métriques (Grafana) + logs (Kibana)","Vue d’ensemble prod : alerting à terme (voir planification)."
"Planification (à venir)","GIF hero : renommer fichier (sans espaces dans l’URL)","Ex. hero-animation.gif + mise à jour HomePage.jsx."
"Planification (à venir)","Alerting Prometheus / Alertmanager","Alertes si service down ou disque plein."
"Planification (à venir)","Métriques applicatives (routes API, erreurs 5xx)","Enrichir Grafana au-delà du seul cAdvisor."
"Planification (à venir)","Documentation README alignée (Traefik vs ancienne doc Nginx)","Cohérence avec l’archi réelle sur VPS."